Date.Full,Data.Temperature.Avg Temp,Data.Precipitation,Year,Month,Day,Season
2016-01-03,39,0.0,2016,1,3,Winter
2016-01-03,20,0.0,2016,1,3,Winter
2016-01-03,20,0.0,2016,1,3,Winter
2016-01-03,21,0.0,2016,1,3,Winter
2016-01-03,48,0.63,2016,1,3,Winter
2016-01-03,43,0.0,2016,1,3,Winter
2016-01-03,43,0.0,2016,1,3,Winter
2016-01-03,41,0.0,2016,1,3,Winter
2016-01-03,43,0.0,2016,1,3,Winter
2016-01-03,50,0.16,2016,1,3,Winter
2016-01-03,39,0.0,2016,1,3,Winter
2016-01-03,29,0.19,2016,1,3,Winter
2016-01-03,28,0.05,2016,1,3,Winter
2016-01-03,40,0.0,2016,1,3,Winter
2016-01-03,37,0.0,2016,1,3,Winter
2016-01-03,33,0.01,2016,1,3,Winter
2016-01-03,19,0.0,2016,1,3,Winter
2016-01-03,21,0.0,2016,1,3,Winter
2016-01-03,29,0.05,2016,1,3,Winter
2016-01-03,29,0.02,2016,1,3,Winter
2016-01-03,15,0.0,2016,1,3,Winter
2016-01-03,32,0.31,2016,1,3,Winter
2016-01-03,19,0.01,2016,1,3,Winter
2016-01-03,34,0.01,2016,1,3,Winter
2016-01-03,30,0.06,2016,1,3,Winter
2016-01-03,7,0.06,2016,1,3,Winter
2016-01-03,36,0.21,2016,1,3,Winter
2016-01-03,29,0.13,2016,1,3,Winter
2016-01-03,36,0.0,2016,1,3,Winter
2016-01-03,35,0.0,2016,1,3,Winter
2016-01-03,33,0.0,2016,1,3,Winter
2016-01-03,28,0.03,2016,1,3,Winter
2016-01-03,29,0.0,2016,1,3,Winter
2016-01-03,27,0.0,2016,1,3,Winter
2016-01-03,30,0.0,2016,1,3,Winter
2016-01-03,31,0.0,2016,1,3,Winter
2016-01-03,33,0.0,2016,1,3,Winter
2016-01-03,25,0.01,2016,1,3,Winter
2016-01-03,33,0.01,2016,1,3,Winter
2016-01-03,27,0.02,2016,1,3,Winter
2016-01-03,7,0.0,2016,1,3,Winter
2016-01-03,19,0.0,2016,1,3,Winter
2016-01-03,6,0.01,2016,1,3,Winter
2016-01-03,3,0.0,2016,1,3,Winter
2016-01-03,10,0.0,2016,1,3,Winter
2016-01-03,17,0.0,2016,1,3,Winter
